LR (Pr),LR(Rec),LR(F1),SVM(Pr),SVM(Rec),SVM(F1),RF(Rec),RF (Pr),RF(F1)
0.67,0.64,0.654656489,0.43,0.52,0.470736842,0.66,0.62,0.639375
0.72,0.68,0.699428571,0.7,0.75,0.724137931,0.63,0.69,0.658636364
0.75,0.69,0.71875,0.72,0.52,0.603870968,0.66,0.71,0.684087591
0.86,0.78,0.81804878,0.84,0.89,0.864277457,0.92,0.81,0.86150289
0.72,0.65,0.683211679,0.83,0.81,0.819878049,0.74,0.8,0.768831169
0.85,0.79,0.818902439,0.845,0.9,0.871633238,0.93,0.78,0.848421053
0.61,0.51,0.555535714,0.57,0.52,0.543853211,0.66,0.54,0.594
0.933,0.9,0.916202946,0.72,0.75,0.734693878,0.81,0.88,0.843550296
0.67,0.62,0.644031008,0.59,0.57,0.579827586,0.6,0.56,0.579310345
0.65,0.59,0.618548387,0.58,0.52,0.548363636,0.63,0.53,0.575689655
